sch_name,sch_alias
甘肃农业大学,甘农大
甘肃农业大学,甘肃农业大学
成都东软学院,成都东软
成都东软学院,成都东软信息技术学院
成都东软学院,成都东软信息技术职业学院
成都东软学院,成都东软信息学院
成都东软学院,成都东软学院
广西英华国际职业学院,广西英华国际职业学院
中国人民解放军军事经济学院,解放军军事经济学院
中国人民解放军军事经济学院,军事经济学院
中国人民解放军军事经济学院,武汉军事经济学院
中国人民解放军军事经济学院,中国人民解放军军事经济学院
长春师范高等专科学校,长春师范高等专科学校
长春师范高等专科学校,长春幼儿师范学校
中国人民解放军陆军航空兵学院,解放军陆军航空兵学院
中国人民解放军陆军航空兵学院,陆军航空兵学院
中国人民解放军陆军航空兵学院,中国人民解放军陆军航空兵学院
中国人民解放军国际关系学院,解放军国际关系学院
中国人民解放军国际关系学院,南京国际关系学院
中国人民解放军国际关系学院,中国人民解放军国际关系学院
中国人民解放军军械工程学院,解放军军械工程学院
中国人民解放军军械工程学院,军械工程学院
中国人民解放军军械工程学院,中国人民解放军军械工程学院
江苏城乡建设职业学院,江苏城乡建设职业学院
江苏城乡建设职业学院,江苏省城镇建设学校
北京防化指挥学院,北京防化指挥学院
中国人民解放军北京军医学院,中国人民解放军北京军医学院
中国人民解放军桂林空军学院,中国人民解放军桂林空军学院
中国人民解放军海军陆战学院,中国人民解放军海军兵种指挥学院
中国人民解放军海军陆战学院,中国人民解放军海军陆战学院
中国人民解放军石家庄陆军指挥学院,陆军参谋学院
中国人民解放军石家庄陆军指挥学院,中国人民解放军石家庄陆军指挥学院
中国人民解放军空军航空大学,解放军空军航空大学
中国人民解放军空军航空大学,空军长春飞行学院
中国人民解放军空军航空大学,空军第二航空学院
中国人民解放军空军航空大学,空军航空大学
中国人民解放军空军航空大学,中国人民解放军空军航空大学
中国人民解放军汽车管理学院,中国人民解放军汽车管理学院
中国人民解放军空军勤务学院,空军后勤学院
中国人民解放军空军勤务学院,徐州空军学院
中国人民解放军空军勤务学院,中国人民解放军空军后勤学院
中国人民解放军空军勤务学院,中国人民解放军空军勤务学院
中国人民解放军空军勤务学院,中国人民解放军徐州空军学院
中国人民解放军炮兵指挥学院,炮兵指挥学院
中国人民解放军炮兵指挥学院,中国人民解放军炮兵指挥学院
宿迁学院,宿迁学院
中国人民解放军海军后勤学院,中国人民解放军海军后勤学院
中国人民解放军西安通信学院,西安通信学院
中国人民解放军西安通信学院,中国人民解放军西安通信学院
